"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CAULIFLOWER - APPLICATIONS, MEASURED IN LB  -  <b>VALUE</b>","CAULIFLOWER - APPLICATIONS, MEASURED IN LB  -  <b>CV (%)</b>","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>VALUE</b>","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>CV (%)</b>","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>VALUE</b>","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>CV (%)</b>","CAULIFLOWER - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>VALUE</b>","CAULIFLOWER - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>CV (%)</b>","CAULIFLOWER - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG  -  <b>VALUE</b>","CAULIFLOWER - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG  -  <b>CV (%)</b>"
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AMETOCTRADIN = 119210)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)","300","","0.169","","0.173","","1","","5",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CHLOROTHALONIL = 81901)","3,600","","0.661","","1.064","","1.6","","9",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CONIOTHYRIUM MINITAN = 28836)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER CHLORIDE HYD. = 23501)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)","900","","0.274","","0.337","","1.2","","7",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OCTANOATE = 23306)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OXIDE = 25601)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (DIMETHOMORPH = 268800)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENAMIDONE = 46679)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MANCOZEB = 14504)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MANDIPROPAMIDE TECHN = 36602)","700","","0.123","","0.214","","1.7","","9",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","CAULIFLOWER","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
