"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BROCCOLI - APPLICATIONS, MEASURED IN LB  -  <b>VALUE</b>","BROCCOLI - APPLICATIONS, MEASURED IN LB  -  <b>CV (%)</b>","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>VALUE</b>","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>CV (%)</b>","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>VALUE</b>","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>CV (%)</b>","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>VALUE</b>","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>CV (%)</b>","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG  -  <b>VALUE</b>","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG  -  <b>CV (%)</b>"
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AMETOCTRADIN = 119210)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)","3,700","","0.215","","0.275","","1.3","","15",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS PUMILUS = 6485)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BORAX DECAHYDRATE = 11102)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)","200","","0.389","","0.472","","1.2","","1",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CHLOROTHALONIL = 81901)","9,100","","0.866","","1.098","","1.3","","9",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CONIOTHYRIUM MINITAN = 28836)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2020","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","BROCCOLI","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER CHLORIDE HYD. = 23501)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
